Player Name	ADP
Ryan Pepiot	139
Trevor Rogers	140
Jakob Marsee	141
Sandy Alcantara	142
Emmet Sheehan	143
Trevor Megill	144
Trey Yesavage	145
Luis Castillo	146
Brandon Lowe	147
Nathan Eovaldi	148
Emilio Pagan	149
Chandler Simpson	150
Ozzie Albies	151
Steven Kwan	152
Mike Trout	153
Jacob Wilson	154
Pete Fairbanks	155
Drew Rasmussen	156
Spencer Torkelson	157
Jurickson Profar	158
Adley Rutschman	159
Xavier Edwards	160
Dylan Crews	161
Jackson Holliday	162
Daniel Palencia	163
Noelvi Marte	164
Tatsuya Imai	165
Robbie Ray	166
Kenley Jansen	167
Shota Imanaga	168
Ranger Suarez	169
Brenton Doyle	170
Yainer Diaz	171
MacKenzie Gore	172
Ian Happ	173
Bubba Chandler	174
Isaac Paredes	175
Willson Contreras	176
Cade Horton	177
Ivan Herrera	178
Jonathan Aranda	179
Tanner Bibee	180
Alejandro Kirk	181
Carlos Rodon	182
Bryson Stott	183
Heliot Ramos	184
Bryan Reynolds	185
Munetaka Murakami	186
Colson Montgomery	187
Christian Walker	188
Addison Barger	189
Alec Burleson	190
Abner Uribe	191
Sal Frelick	192
Aaron Nola	193
Andrew Abbott	194
Marcus Semien	195
Jorge Polanco	196
Shane Bieber	197
Dennis Santana	198
Matthew Boyd	199
Sal Stewart	200
Kris Bubic	201
Royce Lewis	202
Shane Baz	203
Gleyber Torres	204
Kazuma Okamoto	205
Konnor Griffin	206
Roki Sasaki	207
Daulton Varsho	208
Daylen Lile	209
Gerrit Cole	210
Zac Gallen	211
Kerry Carpenter	212
Robert Suarez	213
Ezequiel Tovar	214
Matt McLain	215
Xander Bogaerts	216
Kyle Manzardo	217
Merrill Kelly	218
Edward Cabrera	219
Kyle Teel	220
Jack Flaherty	221
Ramon Laureano	222
Trent Grisham	223
Ryan Walker	224
Samuel Basallo	225
Jac Caglianone	226
Wilyer Abreu	227
Adolis Garcia	228
Joe Musgrove	229
Giancarlo Stanton	230
Bryce Miller	231
Noah Cameron	232
Spencer Schwellenbach	233
Jose Caballero	234
Francisco Alvarez	235
Alec Bohm	236
Gabriel Moreno	237
Brendan Donovan	238
Spencer Steer	239
Connelly Early	240
J.T. Realmuto	241
Jasson Dominguez	242
JJ Wetherholt	243
Carlos Correa	244
Caleb Durbin	245
Max Muncy	246
Luis Arraez	247
Jack Leiter	248
Carter Jensen	249
Shane McClanahan	250
Otto Lopez	251
Casey Mize	252
Ryne Nelson	253
Hurston Waldrep	254
Griffin Jax	255
Shane Smith	256
Quinn Priester	257
Masyn Winn	258
Austin Wells	259
Mark Vientos	260
Ryan O'Hearn	261
Matt Shaw	262
Lenyn Sosa	263
TJ Friedl	264
Logan O'Hoppe	265
Kodai Senga	266
Kevin McGonigle	267
Grayson Rodriguez	268
Chris Bassitt	269
Brett Baty	270
Jung Hoo Lee	271
Bailey Ober	272
Logan Henderson	273
Joey Cantillo	274
Brady Singer	275
Willi Castro	276
Andrew Vaughn	277
Ryan Jeffers	278
Yusei Kikuchi	279
Brayan Bello	280
David Peterson	281
Harrison Bader	282
Ian Seymour	283
Ernie Clement	284
Justin Crawford	285
Miguel Vargas	286
Marcelo Mayer	287
Seth Lugo	288
Mitch Keller	289
Andres Gimenez	290
Marcell Ozuna	291
Cody Ponce	292
Jose Soriano	293
Colt Keith	294
Zach McKinstry	295
Luis Gil	296
Tommy Edman	297
Anthony Volpe	298
Josh Jung	299
Michael Wacha	300
Nick Castellanos	301
Justin Steele	302
Clay Holmes	303
Ryan McMahon	304
Jake Cronenworth	305
Bryan Abreu	306
Luis Garcia Jr.	307
Colton Cowser	308
Mickey Moniak	309
Jordan Beck	310
Dillon Dingler	311
Seranthony Dominguez	312
Evan Carter	313
Josh Lowe	314
Jeremiah Estrada	315
Edwin Uceta	316
Ryan Weathers	317
Dylan Beavers	318
Robert Garcia	319
Anthony Santander	320
Zebby Matthews	321
Jake Burger	322
Braxton Ashcraft	323
Will Vest	324
Parker Messick	325
Sean Manaea	326
Andrew Painter	327
Cedric Mullins	328
Chase DeLauter	329
Nolan Gorman	330
Will Warren	331
Carson Kelly	332
Jameson Taillon	333
Cam Smith	334
Mike Burrows	335
Victor Scott	336
Carlos Narvaez	337
Tyler Mahle	338
Tyler O'Neill	339
Jonathan India	340
Matt Wallner	341
J.P. Crawford	342
Chad Patrick	343
Grant Taylor	344
Nolan Arenado	345
Jordan Lawlar	346
Corbin Burnes	347
Nolan Schanuel	348
Adrian Morejon	349
Spencer Arrighetti	350
Cristian Javier	351
Hunter Gaddis	352
Luke Weaver	353
Justin Verlander	354
Tony Santillan	355
Reid Detmers	356
Gavin Sheets	357
Garrett Whitlock	358
Lucas Giolito	359
Brandon Pfaadt	360
Tyler Rogers	361
Brandon Marsh	362
Camilo Doval	363
Isaac Collins	364
Troy Melton	365
Zack Littell	366
Josh Smith	367
Josh Bell	368
Brad Keller	369
JoJo Romero	370
Kyle Finnegan	371
Jonah Tong	372
Tanner Scott	373
Matt Brash	374
Dean Kremer	375
Alex Vesia	376
Jason Adam	377
Javier Baez	378
Trevor Larnach	379
Slade Cecconi	380
Jeffrey Springs	381
Matt Strahm	382
Paul Goldschmidt	383
Bryan King	384
Tyler Stephenson	385
Riley O'Brien	386
Carson Benge	387
Robby Snelling	388
Dustin May	389
Kirby Yates	390
Owen Caissie	391
Brooks Lee	392
Jacob Lopez	393
Reese Olson	394
Moises Ballesteros	395
Jared Jones	396
Bo Naylor	397
Jordan Walker	398
Edgar Quero	399
Justin Sterner	400
Sean Murphy	401
Triston Casas	402
Jeff McNeil	403
Cade Cavalli	404
Bryce Eldridge	405
Simeon Woods Richardson	406
Lars Nootbaar	407
Matt Svanson	408
Andrew Benintendi	409
Colt Emerson	410
Reynaldo Lopez	411
Victor Vodnik	412
Jordan Leasure	413
Michael Soroka	414
Luis Morales	415
Grant Holmes	416
Clayton Beeter	417
Harry Ford	418
Max Meyer	419
Dominic Canzone	420
Luisangel Acuna	421
Robert Stephenson	422
Mauricio Dubon	423
Connor Norby	424
Joe Mack	425
Spencer Horwitz	426
Kevin Ginkel	427
Jose Berrios	428
Taj Bradley	429
Miguel Amaya	430
Jacob Melton	431
Austin Hays	432
Kumar Rocker	433
Jesus Sanchez	434
Victor Robles	435
Johan Oviedo	436
Freddy Fermin	437
Miguel Andujar	438
Coby Mayo	439
Nick Martinez	440
Phil Maton	441
Jake Mangum	442
Brooks Baldwin	443
Romy Gonzalez	444
Chase Meidroth	445
Jake McCarthy	446
Zack Gelof	447
Anthony Kay	448
C.J. Kayfus	449
Thomas White	450
Zach Cole	451
Christian Moore	452
Javier Sanoja	453
Garrett Cleavinger	454
Luis Severino	455
Kody Clemens	456
Brady House	457
Lane Thomas	458
Wenceel Perez	459
Zach Eflin	460
Jake Meyers	461
Jake Latz	462
Steven Matz	463
Andrew Kittredge	464
Alek Manoah	465
Kyle Leahy	466
Charlie Condon	467
Nathaniel Lowe	468
Matthew Liberatore	469
Gavin Stone	470
Garrett Mitchell	471
Parker Meadows	472
Hyeseong Kim	473
Yoan Moncada	474
Kyle Higashioka	475
Ryan Mountcastle	476
Pavin Smith	477
Denzel Clarke	478
Carson Williams	479
Lucas Erceg	480
Dalton Rushing	481
Ronny Mauricio	482
Mick Abel	483
Thomas Saggese	484
Spencer Jones	485
Tyler Freeman	486
Travis Bazzana	487
Joshua Baez	488
Nick Gonzales	489
Griffin Conine	490
Hunter Harvey	491
Louis Varland	492
Esteury Ruiz	493
George Valera	494
Nathan Lukes	495
Michael McGreevy	496
Masataka Yoshida	497
Elmer Rodriguez-Cruz	498
Jeremiah Jackson	499
Shawn Armstrong	500
